,@id,@type,name,@lat,@lon,wikidata,wikipedia,website,email,opening_hours
0,100873503,node,Hochwacht Rhinsberg,47.5595606,8.5360561,Q101445889,de:Hochwacht Rhinsberg,,,
1,259024613,node,Ruine Stein,47.4732192,8.3053033,Q687130,de:Ruine Stein,,,
2,261672616,node,Schloss Lenzburg,47.3872992,8.1852476,Q668647,de:Schloss Lenzburg,https://www.schloss-lenzburg.ch/,info@schloss-lenzburg.ch,Apr-Oct: Tu-Su 10:00-17:00
3,264764892,node,Ruine Gilgenberg,47.3834658,7.607347,Q2175270,,,,
4,265284963,node,Schloss Nidau,47.1275996,7.2398866,Q254290,de:Schloss Nidau,,,
5,267360293,node,Teufelsburg,47.1473891,7.4266007,Q1157656,de:Teufelsburg (Schweiz),,,
6,270412067,node,Burgruine Bibiton,47.2087139,9.010376,Q1010994,de:Burg Bibiton,,,
7,278138119,node,Château de Vuissens,46.7373061,6.7665865,Q29689566,,https://www.lechateaudevuissens.com/,,
8,278572856,node,Ruine Schloss Alt-Wädenswil,47.2132668,8.6848175,Q2175194,de:Ruine Alt-Wädenswil,,,
9,281744674,node,Neu-Aspermont,47.0032475,9.5652261,Q1013226,de:Burg Neu-Aspermont,http://www.bv-neuaspermont.ch/,,
10,286986621,node,Schloss Thierstein,47.3850013,7.5383324,Q1013243,de:Burg Neu-Thierstein,,,
11,295433236,node,Schloss Weinfelden,47.5763875,9.1086601,Q16867546,de:Schloss Weinfelden,,,
12,297007116,node,Ruine Wolkenstein,47.6801789,8.8380794,Q2175501,de:Ruine Wolkenstein (Hemishofen),,,
13,313192014,node,Ruine Tannegg,47.4304134,8.9504574,Q29525893,de:Ruine Tannegg,,,
14,316680550,node,Alt Wülflingen,47.4999102,8.6880847,Q1015238,de:Burgruine Alt-Wülflingen,,,
15,377859248,node,Ruine Engenstein,47.4642232,7.5692255,Q1576670,de:Ruine Engenstein,,,
16,381006614,node,Burgruine Niederwindegg,47.1438249,9.0532095,Q1013327,de:Burg Niederwindegg,,,
17,381712660,node,Château de Vaulruz,46.6248398,6.9941737,Q29698908,,https://www.chateau-vaulruz.ch/,,
18,387904945,node,Ruine Iberg,47.5049801,8.186316,Q687225,de:Ruine_Iberg,,,
19,388514497,node,Ruine Uznaberg,47.2333206,8.9625095,Q1441479,de:Ruine Uznaberg,,,
20,408806844,node,Schloss Sargans,47.0499734,9.4377004,Q1604828,de:Schloss Sargans,https://www.schlosssargans.ch/,,
21,409181646,node,Schloss Wartenfels,47.3906954,7.9346945,Q20012602,de:Schloss Wartenfels (Lostorf),https://www.wartenfels.ch/,,
22,413673790,node,Ruine Alt-Ramschwag,47.4899329,9.3222855,Q29786484,,,,
23,419318391,node,Ruine Weissenau,46.6700969,7.832318,Q2175480,de:Ruine Weissenau,,,
24,427703390,node,Ruine Balm,47.2556033,7.5551259,Q1624444,de:Ruine Balm,,,
25,429361921,node,Genolier Castle ( earth mound ),46.4329106,6.2239227,Q67771693,,,,
26,430049760,node,Ruine Lichtenstein,46.8845717,9.5265368,Q1012938,de:Burg Lichtenstein (Haldenstein),,,
27,430148697,node,Castello di Morcote,45.9258981,8.9138059,Q21100352,it:Castello di Morcote,http://www.castellodimorcote.ch/,info@castellodimorcote.ch,
28,430272457,node,Castello di Mesocco,46.3801829,9.2328264,Q474938,de:Castello di Mesocco,http://www.castellomesocco.ch,,
29,432633740,node,Ruine Glanzenberg,47.4021706,8.4221317,Q1404210,de:Ruine_Glanzenberg,,,
30,444011388,node,Schloss Altenklingen,47.602131,9.0780434,Q685343,de:Schloss Altenklingen,,,
31,445356014,node,Ruine Ober-Ruchenberg,46.8807123,9.5720838,Q1013367,de:Burg_Ober-Ruchenberg,,,
32,461144261,node,Château de Rue,46.6203651,6.8228129,Q2970455,,,,
33,469281641,node,Ruine Radegg,47.6518137,8.506737,Q2175385,de:Ruine Radegg,,,
34,491527188,node,Château de Gorgier,46.908318,6.7857559,Q5586285,en:Gorgier Castle,,,
35,495077298,node,Ruine Rotenfluh,46.6533468,7.8644699,Q67772034,,,,
36,513751098,node,Burgstelle Werdegg,47.3668948,8.8329079,Q102884812,de:Burg Werdegg,,,
37,552402325,node,Ruine Alt Oberhofen,46.7327103,7.6740598,Q1010722,de:Burg Alt-Oberhofen,,,
38,572206579,node,Burg Graepplang,47.1029189,9.3320483,Q1012088,de:Burg_Gräpplang,,,24/7
39,573262035,node,Wildenburg,47.176796,8.5571651,Q1014600,de:Burg Wildenburg (Zug),,,
40,592526781,node,Château de Pleujouse,47.4117152,7.2117241,Q2970241,fr:Château de Pleujouse,,,
41,601484095,node,Ruine Kindhausen,47.3901874,8.366162,Q2175329,de:Ruine Kindhausen,,,
42,656676880,node,Tour du Vully,46.8798323,7.0382942,Q29890498,,,,
43,699050152,node,Burgruine Moosburg,47.4247768,8.6905463,Q1421777,de:Moosburg (Effretikon),,,
44,727655255,node,Ruine Randenburg,47.7514001,8.5389006,Q2175392,de:Randenburg (Randen),,,
45,731424048,node,Schloss Wellenberg,47.566394,8.9467757,Q17041680,de:Schloss Wellenberg (Frauenfeld),http://www.schlosswellenberg.ch/,,
46,736649042,node,Ruine Urgiz,47.460616,8.0519043,Q2175475,de:Ruine_Urgiz,,,
47,741014716,node,Tour Bayart,46.1705328,7.1824953,Q29573897,,https://www.saillon.ch/tourisme/histoire/tour-bayart.aspx,,
48,773110627,node,Ruine Hohentrins,46.8293088,9.3504359,Q1138940,de:Crap Sogn Parcazi,,,
49,775651213,node,Burgruine Belmont,46.8455666,9.3340819,Q1010936,de:Burg Belmont,,,
50,775728152,node,Burg Neuburg,46.9129183,9.5445252,Q1013259,de:Burg Neuburg (Untervaz),http://www.burgenverein-untervaz.ch/,,
51,775761161,node,Ruine Haldenstein,46.8804459,9.5235064,Q1012170,de:Burg Haldenstein,,,
52,823730511,node,Burgruine Alt-Eschenbach,47.1156572,8.3537825,Q29522183,,,,
53,833517119,node,Fortezza Rohan,46.7485329,10.0833733,Q1438954,de:Fortezza Rohan,,,24/7
54,846857999,node,Schloss Hallwyl,47.3232471,8.193806,Q870354,de:Schloss Hallwyl,http://www.schlosshallwyl.ch,schlosshallwyl@ag.ch,
55,881271198,node,Schloss Brestenberg,47.3197919,8.2081924,Q2240410,de:Schloss Brestenberg,,,
56,886297441,node,Burgruine Alt-Tierstein,47.4969571,7.9726707,Q1015229,de:Burgruine_Alt-Tierstein,,,
57,886331060,node,Ruine Alt-Homberg,47.4911393,7.9729429,Q19362404,de:Ruine Alt Homberg,,,
58,891477480,node,Schloss Castell,47.6454706,9.1330502,Q2240512,de:Schloss Castell,,,
59,1005690810,node,Schloss Erlach,47.0444747,7.0943275,Q2240905,de:Schloss Erlach (Erlach),,,
60,1061568373,node,Schloss Ebersberg,47.6428823,9.1540672,Q15127608,de:Schloss Ebersberg (Thurgau),,,
